Longitude,Latitude,Year,Scientific.Name,Source
-170.65463294,-14.24961441,2006,Genus Tridacna,RAMP/NCRMP
-170.65424238,-14.31615909,2012,Genus Tridacna,RAMP/NCRMP
-170.65361446,-14.24813723,2004,Genus Tridacna,RAMP/NCRMP
-170.65358899,-14.24821225,2006,Genus Tridacna,RAMP/NCRMP
-170.65233777,-14.3151923,2012,Genus Tridacna,RAMP/NCRMP
-170.65213461,-14.25163253,2015,Genus Tridacna,RAMP/NCRMP
-170.64866716,-14.25387,2004,Genus Tridacna,RAMP/NCRMP
-170.64630553,-14.25222552,2004,Genus Tridacna,RAMP/NCRMP
-170.64586724,-14.24845568,2015,Genus Tridacna,RAMP/NCRMP
-170.64528135,-14.28896967,2008,Genus Tridacna,RAMP/NCRMP
-170.64391912,-14.31138837,2012,Genus Tridacna,RAMP/NCRMP
-170.64114592,-14.28846923,2008,Genus Tridacna,RAMP/NCRMP
-170.64084943,-14.24951106,2008,Genus Tridacna,RAMP/NCRMP
-170.64077,-14.25071956,2004,Genus Tridacna,RAMP/NCRMP
-170.64069764,-14.3087833,2008,Genus Tridacna,RAMP/NCRMP
-170.64066597,-14.24886209,2004,Genus Tridacna,RAMP/NCRMP
-170.63812815,-14.24788732,2008,Genus Tridacna,RAMP/NCRMP
-170.63779,-14.28247518,2004,Genus Tridacna,RAMP/NCRMP
-170.63628303,-14.24842685,2010,Genus Tridacna,RAMP/NCRMP
-170.63590666,-14.24836665,2004,Genus Tridacna,RAMP/NCRMP
-170.63440813,-14.24675566,2008,Genus Tridacna,RAMP/NCRMP
-170.63347203,-14.24702659,2010,Genus Tridacna,RAMP/NCRMP
-170.63245928,-14.24807845,2008,Genus Tridacna,RAMP/NCRMP
-170.6312696,-14.24972222,2008,Genus Tridacna,RAMP/NCRMP
-170.63103378,-14.24959207,2004,Genus Tridacna,RAMP/NCRMP
-170.63073402,-14.24997152,2012,Genus Tridacna,RAMP/NCRMP
-170.62921798,-14.24852196,2004,Genus Tridacna,RAMP/NCRMP
-170.62807206,-14.24837579,2012,Genus Tridacna,RAMP/NCRMP
